,City,Fatal.Accidents,Total.Accidents,Killed,Severity
1,Agra,1339,3146,1479,47.03747616
2,Ahmedabad,801,5367,820,15.31356437
3,Asansol-Durgapur,605,1322,638,48.24863843
4,Aurangabad,464,1779,500,28.11551433
5,Bengaluru,2144,15053,2194,14.56282469
6,Bhopal,663,10374,728,7.012810873
7,Coimbatore,755,4407,775,17.59800318
8,Delhi,4989,24274,5113,21.09810085
9,Dhanbad,325,704,359,50.96107955
10,Faridabad,657,2101,680,32.37591623
11,Ghaziabad,1049,2597,1124,43.29006546
12,Gwalior,681,6033,732,12.13857119
13,Hyderabad,1316,8260,1329,16.07157385
14,Indore,1219,17173,1305,7.632120189
15,Jaipur,1241,5608,1307,23.28213267
16,Jabalpur,951,9437,1009,10.66170393
17,Jamshedpur,389,967,402,41.58552223
18,Jodhpur,705,1753,852,48.6121506
19,Kochi,440,7066,455,6.440164166
20,Kolkata,1263,13345,1309,9.801603597
21,Kollam,644,4841,686,14.16459409
22,Kota,320,2219,342,15.40932853
23,Kannur,192,1787,202,11.29445999
24,Lucknow,1456,3981,1536,38.58824416
25,Ludhiana,890,1483,913,61.53317599
26,Madurai,448,2423,461,19.0177466
27,Mallapuram,982,8254,1078,13.02461837
28,Mumbai,1579,69550,1647,2.366067577
29,Meerut,1013,2851,1135,39.83479481
30,Nagpur,815,3668,851,23.20087241
31,Patna,1251,3072,1268,41.24059245
32,Pune,1185,4702,1236,26.32452148
33,Rajkot,391,2346,419,17.83947144
34,Surat,710,2848,751,26.38500702
35,Srinagar,169,1282,179,13.9800312
36,Thrissur,333,4020,350,8.704875622
37,Vadodra,592,3495,629,17.99527897
38,Varanasi,619,1251,651,52.0567546
39,Allahabad,1352,3245,1442,44.4242527
40,Amritsar,275,450,291,64.68
41,Chandigarh,362,1195,377,31.53179916
42,Chennai,3157,26643,3251,12.17463499
43,Kanpur,1627,4016,1819,45.3374751
44,Khozikode,473,3815,500,13.1025426
45,Nashik,498,3498,540,15.45348771
46,Raipur,1214,6528,1284,19.69675245
47,Thiruvanthapuram,515,6206,534,8.790428617
48,Tiruchirapalli,445,2180,470,21.53009174
49,Vijaywada City,996,4809,1053,21.93439384
50,Vizaq,1054,4750,1126,23.74187368
